Ingredient,Total Quantity,Location Info
Walnut Log,54.0,South Shroud ( 23.1 / 21.6 )
Wind Shard,351.0,
Spruce Log,126.0,"Coerthas Central Highlands ( 29.5 / 13.1 ), Timed at 10:00am"
Wind Crystal,279.0,
Iron Ingot,78.0,
Ice/Fire Shard,3000.0,
Cobalt Ore,450.0,Northern Thanalan ( 23.1 / 24.2 )
Iron Ore,807.0,Western Thanalan ( 27.2 / 17.4 )
Cedar Log,45.0,Coerthas Western Highlands ( 31.3 / 32.1 )
Mythril Ore,342.0,Southern Thanalan ( 25.2 / 39.9 )
Ice Shard,522.0,
Electrum Ore,156.0,Upper La Noscea ( 30.4 / 25.4 )
Aldgoat Horn,36.0,"Eastern Thanalan ( 18.2 / 22.7 ), Dropped by Myotragus Billy"
Water Shard,198.0,
Gold Ore,126.0,"Eastern Thanalan ( 27.3 / 21.3 ), Timed at 10:00am"
Copper Ore,42.0,Central Thanalan ( 19.0 / 26.2 )
Peacock Ore,189.0,
Wind Cluster,69.0,
Raw Amber,36.0,Eastern Thanalan ( 12.7 / 19.1 )
Flax,36.0,South Shroud ( 17.6 / 28.6 )
Terebinth,18.0,"Nowhere ( 0.0 / 0.0 ), Sold by Main City NPCs"
Bomb Ash,291.0,
Petrified Log,18.0,"Nowhere ( 0.0 / 0.0 ), Sold for 1500 GC Seals"
Scarlet Sap,18.0,"North Shroud ( 17.7 / 27.7 ), Timed at 1:00am"
Ice Cluster,18.0,
Silver Ore,180.0,South Shroud ( 16.1 / 19.7 )
Hardened Sap,108.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Darksteel Ore,63.0,"Coerthas Central Highlands ( 27.5 / 20.0 ), Timed at 1:00am"
Ice/Fire Crystal,63.0,
